id,18~20_ride
415423,4.89875
415424,10.39
415425,3.03
415426,45.96
415427,0.155
415428,0.01
415429,0.135
415430,2.97
415431,1.4333333333333333
415432,0.54
415433,0.1
415434,0.02
415435,0.03
415436,1.5257437475235465
415437,0.02
415438,0.1918611111111111
415439,1.21
415440,1.7373333333333332
415441,0.0
415442,3.38
415443,1.170595238095238
415444,0.8543419913419913
415445,0.78
415446,1.415
415447,0.0
415448,0.2752380952380953
415449,6.55
415450,0.7708333333333333
415451,2.02
415452,3.615
415453,2.4216666666666664
415454,0.82
415455,1.8880000000000001
415456,3.71
415457,1.64
415458,0.6548809523809525
415459,2.89
415460,0.19316666666666665
415461,5.76
415462,0.25
415463,2.3890000000000002
415464,0.789
415465,2.48
415466,6.6
415467,1.6756666666666669
415468,0.5712380952380953
415469,26.64
415470,0.49
415471,2.49
415472,6.19
415473,4.39
415474,1.95
415475,0.04
415476,5.72
415477,6.07
415478,3.56
415479,0.55
415480,2.92
415481,10.37
415482,9.28
415483,0.08
415484,5.88
415485,2.48
415486,10.73
415487,2.41
415488,1.6048333333333336
415489,9.86
415490,0.19
415491,0.01
415492,0.0
415493,0.05625
415494,0.0
415495,0.0275
415496,28.01
415497,0.3133333333333333
415498,4.73
415499,3.05
415500,0.08633333333333333
415501,1.6333333333333335
415502,0.29
415503,6.99
415504,3.61
415505,0.9499523809523809
415506,0.14
415507,2.58
415508,0.75
415509,0.0625
415510,0.23
415511,6.43
415512,2.715
415513,15.6
415514,0.0
415515,22.57
415516,0.0
415517,0.0
415518,0.032
415519,0.0
415520,0.58
415521,0.06
415522,1.74
415523,0.6
415524,3.66
415525,0.0
415526,0.0
415527,0.07
415528,0.12087301587301587
415529,2.5
415530,11.0
415531,4.98
415532,1.75
415533,1.47
415534,5.52
415535,3.49
415536,0.91
415537,1.76
415538,1.108
415539,3.67
415540,0.87
415541,0.5633333333333332
415542,0.22
415543,3.3233333333333337
415544,0.4603333333333333
415545,5.77
415546,0.1
415547,0.5783333333333334
415548,0.03
415549,0.28
415550,29.97
415551,1.68
415552,1.89
415553,21.25
415554,2.32
415555,1.5085714285714287
415556,1.525
415557,1.58
415558,1.07
415559,1.528333333333333
415560,0.5483333333333333
415561,1.3465
415562,16.48
415563,8.04
415564,10.81
415565,8.88
415566,0.97
415567,1.46
415568,5.87
415569,11.97
415570,0.2
415571,0.93
415572,6.25
415573,0.0
415574,0.0
415575,0.0
415576,0.0
415577,0.0
415578,0.0
415579,0.0
415580,0.0
415581,0.0
415582,0.0
415583,0.0
415584,0.0
415585,0.0
415586,0.0
415587,0.0
415588,0.0
415589,0.01
415590,0.0
415591,0.0
415592,0.0
415593,0.0
415594,0.0
415595,0.0
415596,0.0
415597,0.0
415598,0.0
415599,0.0
415600,0.0
415601,0.0
415602,0.0
415603,1.82
415604,0.1675
415605,2.2113333333333336
415606,0.04
415607,0.38799999999999996
415608,0.35
415609,0.5683333333333332
415610,0.41
415611,5.028333333333333
415612,0.19
415613,19.07
415614,0.61
415615,0.0
415616,1.79
415617,4.19
415618,0.48
415619,3.878333333333333
415620,2.9675
415621,3.71
415622,9.64
415623,0.875
415624,3.12
415625,1.6810000000000003
415626,0.67
415627,0.2
415628,0.0
415629,0.0
415630,4.55
415631,1.8330000000000004
415632,1.15
415633,4.2975
415634,2.89
415635,0.6601666666666668
415636,0.01
415637,0.3661666666666667
415638,0.06
415639,1.62
415640,8.267333333333333
415641,0.11
415642,0.0
415643,0.13767171717171717
415644,12.11
415645,1.09
415646,0.0
415647,1.3475
415648,1.255
415649,0.4
415650,1.5913333333333333
415651,1.1113333333333333
415652,1.3479404761904763
415653,5.2
415654,3.24
415655,3.98
415656,0.07566666666666667
415657,0.965
415658,0.40539285714285717
415659,0.0
415660,0.01
415661,0.0
415662,1.0683333333333334
415663,0.41
415664,0.7
415665,0.0
415666,0.0
415667,0.0
415668,0.085
415669,0.0
415670,0.105
415671,0.0
415672,0.06
415673,0.08
415674,0.0
415675,0.0
415676,0.0
415677,0.0
415678,0.0
415679,30.56
415680,4.76
415681,1.01
415682,0.20208333333333336
415683,1.27
415684,0.03
415685,0.55
415686,0.0
415687,1.14
415688,0.35
415689,1.5066666666666668
415690,11.45
415691,0.0
415692,0.0
415693,0.05666666666666667
415694,0.0
415695,9.46
415696,0.18333333333333335
415697,0.5124920634920634
415698,0.06513492063492064
415699,0.03
415700,0.07
415701,0.04
415702,0.192
415703,7.26
415704,1.07
415705,0.0
415706,0.3766666666666667
415707,0.45463888888888887
415708,3.273333333333334
415709,0.147
415710,0.91
415711,2.4133333333333336
415712,6.0
415713,3.965
415714,4.11
415715,0.21
415716,0.03666666666666667
415717,0.17
415718,1.05
415719,0.63
415720,0.28
415721,0.33034523809523814
415722,1.49
415723,0.39
415724,1.0166666666666668
415725,6.189666666666666
415726,1.32
415727,0.8566666666666666
415728,6.397083333333333
415729,8.33
415730,10.81
415731,0.42
415732,0.3168333333333333
415733,0.6
415734,8.7675
415735,0.71
415736,3.64
415737,0.0
415738,0.13566666666666666
415739,0.69
415740,0.46
415741,12.41
415742,0.0
415743,0.7153333333333333
415744,0.8533333333333333
415745,1.04
415746,10.649761904761906
415747,0.7933333333333334
415748,0.03
415749,3.56
415750,4.0473333333333334
415751,0.0
415752,0.65
415753,0.0
415754,0.0
415755,0.0
415756,0.0
415757,0.1643333333333333
415758,0.0
415759,0.0
415760,0.0
415761,0.0
415762,0.0
415763,0.0
415764,0.01
415765,0.0
415766,0.0
415767,0.02
415768,0.01
415769,6.63
415770,0.6056584249084248
415771,0.0
415772,0.965
415773,0.03
415774,0.0
415775,0.0
415776,4.048500000000001
415777,0.0
415778,0.16333333333333336
415779,0.27166666666666667
415780,0.33
415781,1.5894285714285714
415782,0.43039285714285713
415783,0.06
415784,3.25
415785,0.02
415786,3.7
415787,0.00125
415788,0.0
415789,0.42883333333333323
415790,1.765
415791,0.05133333333333333
415792,0.0
415793,11.75
415794,0.001
415795,0.0
415796,0.24616666666666656
415797,0.24333333333333332
415798,0.002857142857142857
415799,0.1338214285714286
415800,0.07
415801,0.27495634920634915
415802,0.3233333333333333
415803,0.0
415804,0.6030714285714285
415805,0.006666666666666666
415806,0.5226372026666143
415807,0.04499999999999999
415808,0.925
415809,4.99
415810,12.04
415811,2.85
415812,0.5325
415813,5.865
415814,0.05
415815,0.15683333333333332
415816,0.0
415817,0.0
415818,1.96
415819,0.02
415820,0.61
415821,4.66
415822,0.19
415823,0.49
415824,0.49500000000000005
415825,0.4035000000000001
415826,27.52
415827,0.9275
415828,3.99
415829,0.24
415830,0.505
415831,0.48833333333333334
415832,0.33
415833,1.1575
415834,11.26
415835,1.9802499999999998
415836,1.11
415837,0.89
415838,2.06
415839,7.15
415840,6.005
415841,0.5
415842,0.05
415843,6.75
415844,8.38
415845,5.173166666666667
415846,3.4225
415847,3.758
415848,1.2543798701298703
415849,0.0
415850,0.0
415851,0.01
415852,0.0
415853,0.09309523809523808
415854,0.8517499999999998
415855,0.02
415856,0.0
415857,2.9304761904761905
415858,0.45
415859,0.17316666666666666
415860,0.0
415861,0.31
415862,0.516
415863,1.17
415864,1.8906666666666663
415865,0.0
415866,0.0
415867,0.33668162393162393
415868,0.3800692640692641
415869,1.480547619047619
415870,0.353
415871,2.216277777777778
415872,0.0
415873,0.0
415874,0.9581666666666666
415875,0.0
415876,0.0
415877,0.11
415878,0.5209437229437228
415879,1.195
415880,0.0
415881,0.0
415882,0.4313545343545343
415883,0.12
415884,3.129761904761905
415885,0.045
415886,0.003333333333333333
415887,0.012333333333333333
415888,1.7281821789321783
415889,0.01
415890,0.05
415891,0.43
415892,5.36
415893,0.11
415894,0.0
415895,0.12666666666666665
415896,4.03
415897,0.3
415898,12.68
415899,3.685
415900,0.31
415901,0.53
415902,0.55
415903,0.99
415904,1.16
415905,1.91
415906,1.0266666666666666
415907,0.9912142857142857
415908,0.4763333333333333
415909,10.31
415910,0.42773809523809525
415911,8.25
415912,2.2
415913,19.44
415914,0.0
415915,0.62
415916,11.25
415917,0.5
415918,10.15
415919,3.286
415920,0.42066666666666663
415921,1.7
415922,21.36
