id,count
0,82.8325
1,244.0345
2,69.3385
4,29.53
5,65.6765
10,111.825
11,153.571
12,371.48425
15,45.596
17,139.761
18,299.63825
23,257.98075
25,95.06875
26,45.898
31,194.08275
39,143.72675
40,27.84275
41,172.86075
42,384.35775
43,190.615
51,192.99
52,83.18875
54,19.22825
60,124.4835
61,141.561
62,102.956
63,28.95875
65,102.53325
66,118.27325
68,116.23475
71,79.8305
80,30.88825
82,68.71875
94,143.343
98,247.30825
101,38.14375
102,131.3365
107,80.83075
112,215.526
113,86.5615
115,53.60475
116,116.3735
120,132.3045
121,71.431
122,330.136
132,204.698
143,90.19575
147,66.852
150,15.203
151,87.75425
152,202.7665
153,90.135
155,184.59075
156,54.52625
159,151.46
161,115.35575
163,48.7465
177,171.28225
186,16.92975
188,17.7665
190,86.32775
191,83.3585
192,271.844
195,319.09125
200,139.3305
209,318.699
210,14.54325
211,214.1105
214,144.4405
215,23.98825
218,103.1525
219,32.236
222,155.15125
225,15.3895
228,310.67525
236,166.54125
241,38.1595
242,154.921
243,211.94925
245,17.842
247,249.31825
251,113.9935
252,71.112
253,84.091
254,91.868
258,308.49625
260,48.88575
261,136.424
265,89.198
266,283.3905
267,320.4705
269,181.68325
270,67.12025
275,99.25575
278,39.11175
279,85.07125
286,95.016
287,27.565
288,236.6945
289,142.4715
293,19.55575
294,128.79025
297,33.93925
302,129.06925
303,88.7755
304,62.52775
307,102.67475
309,18.228
311,169.09575
312,122.65375
314,187.96075
315,188.02175
319,145.97975
322,109.05925
323,65.78025
325,113.731
327,238.94425
330,39.266
332,166.1675
333,17.63025
338,101.98625
341,118.06425
345,184.882
348,104.7355
349,48.0395
350,114.645
352,47.34275
355,17.449
356,239.56425
358,55.9965
363,116.542
369,185.4845
371,17.556
372,147.5935
375,305.95675
380,110.494
388,43.129
391,119.093
392,269.538
393,378.48775
394,223.13675
396,27.07725
401,37.0805
407,75.65525
409,98.07225
410,116.88525
416,106.7855
418,116.02825
420,160.93625
421,164.45625
422,111.9555
424,288.48775
428,368.6135
429,219.965
431,153.678
435,14.86675
439,99.77775
441,14.56925
447,82.834
449,132.9885
451,122.4085
452,18.141
454,197.5775
458,212.2355
463,127.95175
467,14.559
470,239.21175
471,170.981
474,291.41925
478,16.38225
483,128.33525
484,123.98375
485,90.57375
486,132.8095
491,99.0705
494,96.2175
495,248.4695
497,221.15925
499,154.75275
515,115.42675
518,219.042
521,196.695
525,148.2945
529,253.364
532,125.54425
534,78.947
540,97.6785
544,302.48825
547,200.84475
549,43.2345
563,36.5315
564,160.2695
567,129.86375
572,106.262
577,108.3475
578,234.8745
585,381.6605
588,123.711
589,105.332
590,103.55825
592,15.7255
594,228.2495
596,15.75775
598,384.42775
599,142.49
605,36.21025
606,116.9825
607,270.47525
608,213.15775
609,62.77625
610,287.986
611,204.09625
614,126.072
615,201.01
616,243.126
617,125.921
618,250.55375
624,121.86775
629,135.12425
631,96.2325
633,101.527
637,23.80425
638,99.082
643,67.4245
644,143.09725
645,36.5555
646,210.39725
648,174.531
650,37.966
651,214.343
652,273.46975
656,111.61025
657,17.70375
659,105.97825
660,182.424
662,99.42275
665,367.80075
675,334.354
681,140.25225
682,222.68725
685,18.59725
686,157.1935
689,22.36675
696,154.2075
703,149.948
704,95.459
705,113.668
714,237.28025
717,106.67825
718,13.526
720,54.42825
721,227.103
723,226.492
726,206.83025
728,130.456
730,226.0665
731,27.38125
734,339.22775
737,69.50825
738,16.378
745,148.5145
746,25.19875
749,234.17725
752,22.4335
753,170.36725
758,215.414
765,16.35075
766,212.992
768,87.25075
769,228.22025
774,119.61925
775,91.63025
781,52.07675
784,340.9625
794,17.56375
795,280.49925
796,82.54575
802,156.45425
803,229.657
805,32.8785
806,289.93
807,96.79025
809,14.98575
810,175.61325
812,211.05775
814,123.92425
818,245.688
819,174.4025
825,53.8315
836,98.65625
839,124.19325
847,263.6445
848,184.557
851,107.9625
852,147.974
853,33.9755
857,163.66925
858,45.76075
859,245.2865
861,22.49825
867,101.49075
870,221.42675
871,202.75875
872,178.096
874,357.378
881,162.392
886,141.4075
890,53.01275
895,146.42025
899,88.543
900,277.40925
901,254.7885
902,183.93325
903,43.63175
913,250.50775
918,177.75225
923,104.06675
924,38.78225
926,25.84475
927,19.52425
930,218.3925
934,27.7725
937,129.06825
939,135.409
941,85.17225
942,386.258
946,293.0715
950,97.9745
953,85.43275
959,88.30175
961,27.54325
962,95.95475
964,55.50325
969,173.7495
971,143.712
976,46.33825
978,239.79625
980,248.16125
981,126.63125
990,384.38025
993,19.5255
996,19.76375
998,343.5395
999,184.799
1006,112.94425
1008,15.208
1013,26.67325
1015,102.63375
1016,117.48525
1022,321.37425
1026,216.85825
1028,239.52425
1031,89.0475
1034,45.56675
1037,130.74225
1040,65.65875
1042,17.645
1046,17.79225
1048,98.31125
1049,107.57475
1050,67.2405
1051,199.0325
1052,235.917
1055,223.9665
1060,164.14125
1064,27.80325
1066,81.55175
1071,103.70475
1073,14.843
1089,164.418
1091,104.0805
1092,50.70175
1093,241.295
1096,339.76925
1097,228.00075
1098,18.33975
1099,32.90425
1102,211.67925
1107,107.77225
1109,45.8215
1111,156.645
1112,111.698
1114,296.11575
1116,292.74175
1117,107.3575
1118,106.922
1122,128.56525
1124,144.18325
1127,129.3655
1133,208.506
1134,36.69875
1135,150.79725
1139,316.5235
1143,49.88175
1150,124.82175
1151,107.262
1153,280.3275
1155,26.35825
1162,26.22
1163,205.521
1166,20.8435
1171,89.57525
1172,13.758
1173,233.38075
1174,81.15275
1177,101.46725
1178,146.7
1184,207.9925
1185,100.92175
1186,126.06725
1187,197.266
1188,285.1325
1191,154.2005
1207,122.17675
1213,45.68525
1215,131.89975
1223,159.21625
1227,110.09125
1236,52.21825
1237,51.66275
1238,19.785
1241,27.1295
1248,16.9165
1250,44.20675
1251,153.66825
1253,122.5775
1255,102.6895
1257,159.21625
1261,124.6315
1262,375.22975
1265,117.03125
1273,163.38425
1277,278.871
1278,107.34775
1280,123.79725
1284,235.43925
1285,338.84925
1288,32.19575
1295,93.86725
1297,381.8235
1299,244.649
1304,146.319
1308,43.115
1310,97.39825
1311,116.9635
1314,86.38675
1315,96.8645
1318,31.5695
1320,330.675
1321,297.476
1322,234.68
1330,114.776
1333,151.187
1334,192.27325
1341,108.4295
1344,126.33875
1351,227.80225
1354,100.9795
1356,54.3665
1363,108.021
1365,204.75025
1369,121.16975
1373,124.4205
1375,102.64625
1377,83.144
1379,113.274
1380,296.95075
1381,99.845
1384,179.57225
1390,174.105
1393,234.47025
1395,48.2475
1399,316.346
1400,94.18875
1401,183.89075
1404,132.316
1408,14.474
1409,27.15775
1413,213.05
1416,281.80625
1418,99.115
1423,105.0125
1424,26.59125
1425,13.99975
1433,215.1785
1434,166.99475
1436,312.49375
1442,255.9055
1444,83.537
1445,126.452
1452,192.814
1455,151.38825
1462,70.33275
1467,82.22975
1472,41.318
1475,227.1445
